Title,Authors,Description,Page Count,Genres,Publication Year,Star Score,Rating Count,Reviews Count
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"Billy Beane, general manager of MLB's Oakland A's and protagonist of Michael Lewis's 
, had a problem: how to win in the Major Leagues with a budget that's smaller than that of nearly every other team. Conventional wisdom long held that big name, highly athletic hitters and young pitchers with rocket arms were the ticket to success. But Beane and his staff, buoyed by massive amounts of carefully interpreted statistical data, believed that wins could be had by more affordable methods such as hitters with high on-base percentage and pitchers who get lots of ground outs. Given this information and a tight budget, Beane defied tradition and his own scouting department to build winning teams of young affordable players and inexpensive castoff veterans. 
 Lewis was in the room with the A's top management as they spent the summer of 2002 adding and subtracting players and he provides outstanding play-by-play. In the June player draft, Beane acquired nearly every prospect he coveted (few of whom were coveted by other teams) and at the July trading deadline he engaged in a tense battle of nerves to acquire a lefty reliever. Besides being one of the most insider accounts ever written about baseball, 
Moneyball
 is populated with fascinating characters. We meet Jeremy Brown, an overweight college catcher who most teams project to be a 15th round draft pick (Beane takes him in the first). Sidearm pitcher Chad Bradford is plucked from the White Sox triple-A club to be a key set-up man and catcher Scott Hatteberg is rebuilt as a first baseman. But the most interesting character is Beane himself. A speedy athletic can't-miss prospect who somehow missed, Beane reinvents himself as a front-office guru, relying on players completely unlike, say, Billy Beane. Lewis, one of the top nonfiction writers of his era (
Liar's Poker
, 
The New New Thing
), offers highly accessible explanations of baseball stats and his roadmap of Beane's economic approach makes 
Moneyball
 an appealing reading experience for business people and sports fans alike. 
--John Moe",317,"['Nonfiction', 'Sports', 'Baseball', 'Business', 'Economics', 'Biography', 'History']",2003,4.26,130277,5920
Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Okay, you're thinking: 
Yup — and it works.
Mary Roach takes the age-old question, 
""What happens to us after we die?""
 quite literally. And in 
Stiff,
 she explores the 
""lives""
 of human cadavers from the time of the ancient Egyptians all the way up to current campaigns for human composting. Along the way, she recounts with morbidly infectious glee how dead bodies are used for research ranging from car safety and plastic surgery (you'll cancel your next collagen injection after reading this!), to the authenticity of the Shroud of Turin. 
Impossible (and irreverent) as it may sound, Roach has written a book about corpses that's both lively and fresh. She traveled around the globe to conduct her forensic investigations, and her findings are wryly intelligent. While the myriad uses for cadavers recounted are often graphic, Roach imbues her subject with a sense of dignity, choosing to emphasize the oddly noble purposes corpses serve, from organ donation to lifesaving medical research.
 Readers will come away convinced of the enormous debt that we, the living, owe to the study of the remains of the dead. And while it may not offer the answer to the ancient mystery we were hoping for, 
Stiff
 offers a strange sort of comfort in the knowledge that, in a sense, death isn't necessarily the end.",303,"['Nonfiction', 'Science', 'Medical', 'Humor', 'Audiobook', 'Medicine', 'Death']",2003,4.06,216965,17385
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"A Story of Violent Faith
A multilayered, bone-chilling narrative of messianic delusion, savage violence, polygamy, and unyielding faith. This is vintage Krakauer, an utterly compelling work of nonfiction that illuminates an otherwise confounding realm of human behavior.
Jon Krakauer’s literary reputation rests on insightful chronicles of lives conducted at the outer limits. In Under The Banner of Heaven: A Story of Violent Faith, he shifts his focus from extremes of physical adventure to extremes of religious belief within our own borders. At the core of his book is an appalling double murder committed by two Mormon Fundamentalist brothers, Ron and Dan Lafferty, who insist they received a revelation from God commanding them to kill their blameless victims. Beginning with a meticulously researched account of this ""divinely inspired"" crime, Krakauer constructs a multilayered, bone-chilling narrative of messianic delusion, savage violence, polygamy, and unyielding faith. Along the way, he uncovers a shadowy offshoot of America’s fastest-growing religion, and raises provocative questions about the nature of religious belief.
Krakauer takes readers inside isolated communities in the American West, Canada, and Mexico, where some forty-thousand Mormon Fundamentalists believe the mainstream Mormon Church went unforgivably astray when it renounced polygamy. Defying both civil authorities and the Mormon establishment in Salt Lake City, the leaders of these outlaw sects are zealots who answer only to God. Marrying prodigiously and with virtual impunity (the leader of the largest fundamentalist church took seventy-five ""plural wives,"" several of whom were wed to him when they were fourteen or fifteen and he was in his eighties), fundamentalist prophets exercise absolute control over the lives of their followers, and preach that any day now the world will be swept clean in a hurricane of fire, sparing only their most obedient adherents.
Weaving the story of the Lafferty brothers and their fanatical brethren with a clear-eyed look at Mormonism’s violent past, Krakauer examines the underbelly of the most successful homegrown faith in the United States, and finds a distinctly American brand of religious extremism. The result is vintage Krakauer, an utterly compelling work of nonfiction that illuminates an otherwise confounding realm of human behavior.",400,"['Nonfiction', 'True Crime', 'History', 'Religion', 'Crime', 'Audiobook', 'Cults']",2003,4.01,205452,14241
The Complete Persepolis,Marjane Satrapi,"Here, in one volume: Marjane Satrapi's best-selling, internationally acclaimed memoir-in-comic-strips.
 is the story of Satrapi's unforgettable childhood and coming of age within a large and loving family in Tehran during the Islamic Revolution; of the contradictions between private and public life in a country plagued by political upheaval; of her high school years in Vienna facing the trials of adolescence far from her family; of her homecoming—both sweet and terrible; and, finally, of her self-imposed exile from her beloved homeland. It is the chronicle of a girlhood and adolescence at once outrageous and familiar, a young life entwined with the history of her country yet filled with the universal trials and joys of growing up.
Edgy, searingly observant, and candid, often heartbreaking but threaded throughout with raw humor and hard-earned wisdom—
Persepolis
 is a stunning work from one of the most highly regarded, singularly talented graphic artists at work today.",341,"['Graphic Novels', 'Nonfiction', 'Comics', 'Memoir', 'Biography', 'History', 'Feminism']",2003,4.39,179213,11894
Rubicon: The Last Years of the Roman Republic,Tom Holland,"In 49 B.C., the seven hundred fifth year since the founding of Rome, Julius Caesar crossed a small border river called the Rubicon and plunged Rome into cataclysmic civil war. Tom Holland’s enthralling account tells the story of Caesar’s generation, witness to the twilight of the Republic and its bloody transformation into an empire.
From Cicero, Spartacus, and Brutus, to Cleopatra, Virgil, and Augustus, here are some of the most legendary figures in history brought thrillingly to life. Combining verve and freshness with scrupulous scholarship, 
is not only an engrossing history of this pivotal era but a uniquely resonant portrait of a great civilization in all its extremes of self-sacrifice and rivalry, decadence and catastrophe, intrigue, war, and world-shaking ambition.",408,"['History', 'Nonfiction', 'Ancient History', 'Historical', 'Politics', 'Classics', 'Roman']",2003,4.21,20555,1241
Benjamin Franklin: An American Life,Walter Isaacson,"Benjamin Franklin is the founding father who winks at us -- an ambitious urban entrepreneur who rose up the social ladder, from leather-aproned shopkeeper to dining with kings. 
 
 In bestselling author Walter Isaacson's vivid and witty full-scale biography, we discover why Franklin turns to us from history's stage with eyes that twinkle from behind his new-fangled spectacles. In 
 Isaacson shows how Franklin defines both his own time and ours. 
 The most interesting thing that Franklin invented, and continually reinvented, was himself. America's first great publicist, he was consciously trying to create a new American archetype. In the process, he carefully crafted his own persona, portrayed it in public, and polished it for posterity. His guiding principle was a ""dislike of everything that tended to debase the spirit of the common people."" Few of his fellow founders felt this comfort with democracy so fully, and none so intuitively. 
 In this colorful and intimate narrative, Isaacson provides the full sweep of Franklin's amazing life, from his days as a runaway printer to his triumphs as a statesman, scientist, and Founding Father. He chronicles Franklin's tumultuous relationship with his illegitimate son and grandson, his practical marriage, and his flirtations with the ladies of Paris. He also shows how Franklin helped to create the American character and why he has a particular resonance in the twenty-first century.",375,"['Biography', 'History', 'Nonfiction', 'American History', 'Biography Memoir', 'Politics', 'American Revolution']",2003,4.04,138934,2743
The Bedford Boys: One American Town's Ultimate D-Day Sacrifice,Alex Kershaw,"June 6, 1944: Nineteen boys from Bedford, Virginia--population just 3,000 in 1944--died in the first bloody minutes of D-Day. They were part of Company A of the 116th Regiment of the 29th Division, and the first wave of American soldiers to hit the beaches in Normandy. Later in the campaign, three more boys from this small Virginia town died of gunshot wounds. Twenty-two sons of Bedford lost--it is a story one cannot easily forget and one that the families of Bedford will never forget. 
 is the true and intimate story of these men and the friends and families they left behind.Based on extensive interviews with survivors and relatives, as well as diaries and letters, Kershaw's book focuses on several remarkable individuals and families to tell one of the most poignant stories of World War II--the story of one small American town that went to war and died on Omaha Beach.",328,"['History', 'Nonfiction', 'World War II', 'War', 'Military History', 'Military Fiction', 'American History']",2003,4.22,3948,321
Gulag: A History,Anne Applebaum,"The Gulag—the vast array of Soviet concentration camps—was a system of repression and punishment whose rationalized evil and institutionalized inhumanity were rivaled only by the Holocaust.
 
The Gulag entered the world's historical consciousness in 1972, with the publication of Alexander Solzhenitsyn's epic oral history of the Soviet camps, 
. Since the collapse of the Soviet Union, dozens of memoirs and new studies covering aspects of that system have been published in Russia and the West. Using these new resources as well as her own original historical research, Anne Applebaum has now undertaken, for the first time, a fully documented history of the Soviet camp system, from its origins in the Russian Revolution to its collapse in the era of glasnost. It is an epic feat of investigation and moral reckoning that places the Gulag where it belongs: at the center of our understanding of the troubled history of the twentieth century. 
Anne Applebaum first lays out the chronological history of the camps and the logic behind their creation, enlargement, and maintenance. The Gulag was first put in place in 1918 after the Russian Revolution. In 1929, Stalin personally decided to expand the camp system, both to use forced labor to accelerate Soviet industrialization and to exploit the natural resources of the country's barely habitable far northern regions. By the end of the 1930s, labor camps could be found in all twelve of the Soviet Union's time zones. The system continued to expand throughout the war years, reaching its height only in the early 1950s. From 1929 until the death of Stalin in 1953, some 18 million people passed through this massive system. Of these 18 million, it is estimated that 4.5 million never returned. 
But the Gulag was not just an economic institution. It also became, over time, a country within a country, almost a separate civilization, with its own laws, customs, literature, folklore, slang, and morality. Topic by topic, Anne Applebaum also examines how life was lived within this shadow country: how prisoners worked, how they ate, where they lived, how they died, how they survived. She examines their guards and their jailers, the horrors of transportation in empty cattle cars, the strange nature of Soviet arrests and trials, the impact of World War II, the relations between different national and religious groups, and the escapes, as well as the extraordinary rebellions that took place in the 1950s. She concludes by examining the disturbing question why the Gulag has remained relatively obscure, in the historical memory of both the former Soviet Union and the West. 
Gulag: A History
 will immediately be recognized as a landmark work of historical scholarship and an indelible contribution to the complex, ongoing, necessary quest for truth.",677,"['History', 'Nonfiction', 'Russia', 'Politics', 'Russian History', 'War', 'Historical']",2003,4.27,11560,971
"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",Adrian Nicole LeBlanc,"In her extraordinary bestseller, Adrian Nicole LeBlanc immerses readers in the intricacies of the ghetto, revealing the true sagas lurking behind the headlines of gangsta glamour, gold-drenched drug dealers, and street-corner society. Focusing on two romances - Jessica's dizzying infatuation with a hugely successful young heroin dealer, Boy George, and Coco's first love with Jessica's little brother, Cesar - 
 is the story of young people trying to outrun their destinies. Jessica and Boy George ride the wild adventure between riches and ruin, while Coco and Cesar stick closer to the street, all four caught in a precarious dance between survival and death. Friends get murdered; the DEA and FBI investigate Boy George; Cesar becomes a fugitive; Jessica and Coco endure homelessness, betrayal, the heartbreaking separation of prison, and, throughout it all, the insidious damage of poverty.
Charting the tumultuous cycle of the generations - as girls become mothers, boys become criminals, and hope struggles against deprivation - LeBlanc slips behind the cold statistics and sensationalism and comes back with a riveting, haunting, and true story.",409,"['Nonfiction', 'Sociology', 'Memoir', 'Biography', 'New York', 'Journalism', 'Poverty']",2003,4.26,12287,1491
Shake Hands with the Devil,Roméo Dallaire,"On the 10th anniversary of when UN peacekeepers landed in Rwanda, Random House Canada proudly publishes the unforgettable 1st-hand account of the genocide by the leader of the mission. Digging deep into shattering memories, Dallaire has written a powerful story of betrayal, naïveté, racism & international politics. His message is simple, undeniable: Never again. 
When Lt-Gen. Roméo Dallaire was called to serve as force commander of the UN intervention in Rwanda in '93, he thought he was heading off on a straightforward peacekeeping mission. Thirteen months later he flew home from Africa, broken, disillusioned & suicidal, having witnessed the slaughter of 800,000 Rwandans in 100 days. 
In Shake Hands with the Devil, he takes readers with him on a return voyage into hell, vividly recreating the events the international community turned its back on. This book is an unsparing eyewitness account of the failure by humanity to stop the genocide, despite timely warnings. Woven thru the story of this disastrous mission is his own journey from confident Cold Warrior, to devastated UN commander, to retired general engaged in a painful struggle to find a measure of peace, hope & reconciliation. 
This book is a personal account of his conversion from a man certain of his worth & secure in his assumptions to one conscious of his own weaknesses & failures & critical of the institutions he'd relied on. It might not sit easily with standard ideas of military leadership, but understanding what happened to him & his mission to Rwanda is crucial to understanding the moral minefields peacekeepers are forced to negotiate when we ask them to step into dirty wars.",562,"['Nonfiction', 'History', 'Africa', 'Politics', 'War', 'Biography', 'Memoir']",2003,4.24,12863,797
Franklin and Winston: An Intimate Portrait of an Epic Friendship,Jon Meacham,"NEW YORK TIMES BESTSELLER
The most complete portrait ever drawn of the complex emotional connection between two of history’s towering leaders Franklin Roosevelt and Winston Churchill were the greatest leaders of “the Greatest Generation.” In Franklin and Winston, Jon Meacham explores the fascinating relationship between the two men who piloted the free world to victory in World War II. It was a crucial friendship, and a unique one—a president and a prime minister spending enormous amounts of time together (113 days during the war) and exchanging nearly two thousand messages. Amid cocktails, cigarettes, and cigars, they met, often secretly, in places as far-flung as Washington, Hyde Park, Casablanca, and Teheran, talking to each other of war, politics, the burden of command, their health, their wives, and their children. Born in the nineteenth century and molders of the twentieth and twenty-first, Roosevelt and Churchill had much in common. Sons of the elite, students of history, politicians of the first rank, they savored power. In their own time both men were underestimated, dismissed as arrogant, and faced skeptics and haters in their own nations—yet both magnificently rose to the central challenges of the twentieth century. Theirs was a kind of love story, with an emotional Churchill courting an elusive Roosevelt. The British prime minister, who rallied his nation in its darkest hour, standing alone against Adolf Hitler, was always somewhat insecure about his place in FDR’s affections—which was the way Roosevelt wanted it. A man of secrets, FDR liked to keep people off balance, including his wife, Eleanor, his White House aides—and Winston Churchill. Confronting tyranny and terror, Roosevelt and Churchill built a victorious alliance amid cataclysmic events and occasionally conflicting interests. Franklin and Winston is also the story of their marriages and their families, two clans caught up in the most sweeping global conflict in history. Meacham’s new sources—including unpublished letters of FDR’ s great secret love, Lucy Mercer Rutherfurd, the papers of Pamela Churchill Harriman, and interviews with the few surviving people who were in FDR and Churchill’s joint company—shed fresh light on the characters of both men as he engagingly chronicles the hours in which they decided the course of the struggle. Hitler brought them together; later in the war, they drifted apart, but even in the autumn of their alliance, the pull of affection was always there. Charting the personal drama behind the discussions of strategy and statecraft, Meacham has written the definitive account of the most remarkable friendship of the modern age.",364,"['History', 'Biography', 'Nonfiction', 'World War II', 'Presidents', 'American History', 'Politics']",2003,4.14,7911,545
Shakespeare: An Oxford Guide,Stanley Wells,"Edited by Stanley Wells and Lena Cowen Orlin, this stimulating and comprehensive guide to Shakespeare is an ideal text for undergraduate students. It includes over forty specially commissioned essays by an outstanding team of scholars. Each essay is written in an accessible and engaging style and is followed by annotated suggestions for further reading.
 An Oxford Guide is divided into four key parts. Part One offers concise introductions to the literary and historical contexts in which Shakespeare lived and worked. It covers the society, culture, language, theatre, and playwriting conventions of Shakespeare's time and also discusses his contemporary impact. Part Two offers critical overviews of Shakespeare's achievements in the major genres. Each overview is followed by a reading that explores Shakespeare's use of the traditions, scope, and boundaries of that genre in one of his key works. Part Three discusses current critical approaches to the study of Shakespeare. Each chapter outlines a specific approach and is followed by a reading applying that approach to one of Shakespeare's works. Part Four offers chapters on Shakespeare's intellectual and cultural impact over the ages.",713,"['Nonfiction', 'Reference', 'Essays', 'Literature']",2003,4.29,38,8
Into Africa: The Epic Adventures of Stanley and Livingstone,Martin Dugard,"With the utterance of a single line—“Doctor Livingstone, I presume?”—a remote meeting in the heart of Africa was transformed into one of the most famous encounters in exploration history. But the true story behind Dr. David Livingstone and journalist Henry Morton Stanley is one that has escaped telling. 
is an extraordinarily researched account of a thrilling adventure—defined by alarming foolishness, intense courage, and raw human achievement.
In the mid-1860s, exploration had reached a plateau. The seas and continents had been mapped, the globe circumnavigated. Yet one vexing puzzle remained unsolved: what was the source of the mighty Nile river? Aiming to settle the mystery once and for all, Great Britain called upon its legendary explorer, Dr. David Livingstone, who had spent years in Africa as a missionary. In March 1866, Livingstone steered a massive expedition into the heart of Africa. In his path lay nearly impenetrable, uncharted terrain, hostile cannibals, and deadly predators. Within weeks, the explorer had vanished without a trace. Years passed with no word.
While debate raged in England over whether Livingstone could be found—or rescued—from a place as daunting as Africa, James Gordon Bennett, Jr., the brash American newspaper tycoon, hatched a plan to capitalize on the world’s fascination with the missing legend. He would send a young journalist, Henry Morton Stanley, into Africa to search for Livingstone. A drifter with great ambition, but little success to show for it, Stanley undertook his assignment with gusto, filing reports that would one day captivate readers and dominate the front page of the 
New York Herald
. 
Tracing the amazing journeys of Livingstone and Stanley in alternating chapters, author Martin Dugard captures with breathtaking immediacy the perils and challenges these men faced. Woven into the narrative, Dugard tells an equally compelling story of the remarkable transformation that occurred over the course of nine years, as Stanley rose in power and prominence and Livingstone found himself alone and in mortal danger. The first book to draw on modern research and to explore the combination of adventure, politics, and larger-than-life personalities involved, 
Into Africa
 is a riveting read.",349,"['History', 'Nonfiction', 'Africa', 'Adventure', 'Biography', 'Travel', 'Historical']",2002,4.13,6866,542
Alexander Hamilton,Ron Chernow,"Pulitzer Prize-winning author Ron Chernow presents a landmark biography of Alexander Hamilton, the Founding Father who galvanized, inspired, scandalized, and shaped the newborn nation.
In the first full-length biography of Alexander Hamilton in decades, Ron Chernow tells the riveting story of a man who overcame all odds to shape, inspire, and scandalize the newborn America. According to historian Joseph Ellis, 


Alexander Hamilton


 is “a robust full-length portrait, in my view the best ever written, of the most brilliant, charismatic and dangerous founder of them all.”
Few figures in American history have been more hotly debated or more grossly misunderstood than Alexander Hamilton. Chernow’s biography gives Hamilton his due and sets the record straight, deftly illustrating that the political and economic greatness of today’s America is the result of Hamilton’s countless sacrifices to champion ideas that were often wildly disputed during his time. “To repudiate his legacy,” Chernow writes, “is, in many ways, to repudiate the modern world.” Chernow here recounts Hamilton’s turbulent life: an illegitimate, largely self-taught orphan from the Caribbean, he came out of nowhere to take America by storm, rising to become George Washington’s aide-de-camp in the Continental Army, coauthoring The Federalist Papers, founding the Bank of New York, leading the Federalist Party, and becoming the first Treasury Secretary of the United States.Historians have long told the story of America’s birth as the triumph of Jefferson’s democratic ideals over the aristocratic intentions of Hamilton. Chernow presents an entirely different man, whose legendary ambitions were motivated not merely by self-interest but by passionate patriotism and a stubborn will to build the foundations of American prosperity and power. His is a Hamilton far more human than we’ve encountered before—from his shame about his birth to his fiery aspirations, from his intimate relationships with childhood friends to his titanic feuds with Jefferson, Madison, Adams, Monroe, and Burr, and from his highly public affair with Maria Reynolds to his loving marriage to his loyal wife Eliza. And never before has there been a more vivid account of Hamilton’s famous and mysterious death in a duel with Aaron Burr in July of 1804.
Chernow’s biography is not just a portrait of Hamilton, but the story of America’s birth seen through its most central figure. At a critical time to look back to our roots, 


Alexander Hamilton


 will remind readers of the purpose of our institutions and our heritage as Americans.",818,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical']",2004,4.22,179547,10065
Genghis Khan and the Making of the Modern World,Jack Weatherford,"The name Genghis Khan often conjures the image of a relentless, bloodthirsty barbarian on horseback leading a ruthless band of nomadic warriors in the looting of the civilized world. But the surprising truth is that Genghis Khan was a visionary leader whose conquests joined backward Europe with the flourishing cultures of Asia to trigger a global awakening, an unprecedented explosion of technologies, trade, and ideas. In Genghis Khan and the Making of the Modern World, Jack Weatherford, the only Western scholar ever to be allowed into the Mongols’ “Great Taboo”—Genghis Khan’s homeland and forbidden burial site—tracks the astonishing story of Genghis Khan and his descendants, and their conquest and transformation of the world. 
Fighting his way to power on the remote steppes of Mongolia, Genghis Khan developed revolutionary military strategies and weaponry that emphasized rapid attack and siege warfare, which he then brilliantly used to overwhelm opposing armies in Asia, break the back of the Islamic world, and render the armored knights of Europe obsolete. Under Genghis Khan, the Mongol army never numbered more than 100,000 warriors, yet it subjugated more lands and people in twenty-five years than the Romans conquered in four hundred. With an empire that stretched from Siberia to India, from Vietnam to Hungary, and from Korea to the Balkans, the Mongols dramatically redrew the map of the globe, connecting disparate kingdoms into a new world order. 
But contrary to popular wisdom, Weatherford reveals that the Mongols were not just masters of conquest, but possessed a genius for progressive and benevolent rule. On every level and from any perspective, the scale and scope 
of Genghis Khan’s accomplishments challenge the limits of imagination. Genghis Khan was an innovative leader, the first ruler in many conquered countries to put the power of law above his own power, encourage religious freedom, create public schools, grant diplomatic immunity, abolish torture, and institute free trade. The trade routes he created became lucrative pathways for commerce, but also for ideas, technologies, and expertise that transformed the way people lived. The Mongols introduced the first international paper currency and postal system and developed and spread revolutionary technologies like printing, the cannon, compass, and abacus. They took local foods and products like lemons, carrots, noodles, tea, rugs, playing cards, and pants and turned them into staples of life around the world. The Mongols were the architects of a new way of life at a pivotal time in history. 
In 
, Jack Weatherford resurrects the true history of Genghis Khan, from the story of his relentless rise through Mongol tribal culture to the waging of his devastatingly successful wars and the explosion of civilization that the Mongol Empire unleashed. This dazzling work of revisionist history doesn’t just paint an unprecedented portrait of a great leader and his legacy, but challenges us to reconsider how the modern world was made.
From the Hardcover edition.",312,"['History', 'Nonfiction', 'Biography', 'Asia', 'Historical', 'World History', 'Audiobook']",2004,4.05,73009,3825
Dress Your Family in Corduroy and Denim,David Sedaris,"David Sedaris plays in the snow with his sisters. He goes on vacation with his family. He gets a job selling drinks. He attends his brother's wedding. He mops his sister's floor. He gives directions to a lost traveler. He eats a hamburger. He has his blood sugar tested. It all sounds so normal, doesn't it?
In his newest collection of essays, David Sedaris lifts the corner of ordinary life, revealing the absurdity teeming below its surface. His world is alive with obscure desires and hidden motives -- a world where forgiveness is automatic and an argument can be the highest form of love.
 is another unforgettable collection from one of the wittiest and most original writers at work today.",7,"['Humor', 'Nonfiction', 'Memoir', 'Essays', 'Short Stories', 'Comedy', 'Audiobook']",2004,4.11,277282,7353
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,The fabric of the cosmos,569,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Philosophy']",2004,4.12,38448,1167
"Ballad of the Whiskey Robber: A True Story of Bank Heists, Ice Hockey, Transylvanian Pelt Smuggling, Moonlighting Detectives, and Broken Hearts",Julian Rubinstein,"Ladies and gentlemen, meet Attila Ambrus, the Robin Hood of Eastern Europe. He's the one-time pelt smuggler, professional hockey goalie (possibly the worst in the sport's history), pen salesman, Zamboni driver, gravedigger, church painter, roulette addict, building superintendent, whiskey drinker, and native of Transylvania who's decided that the best thing to do with his time is to rob as many banks as possible.
His rival: Lajos Varjú, the Inspector Clouseau of the Iron Curtain, whose knowledge of police work comes from Hungarian-dubbed episodes of 
. His deputy is nicknamed ""Mound of Asshead"" because of his propensity for crashing police cars. His forensics expert, known as ""Dance Instructor"" for his lucrative side career teaching ballet, wears a top hat and tails on the job.
Welcome to Julian Rubinstein's uproariously funny and unforgettable account of crime in the heart of the new Europe. With a supporting cast that includes car wash owners, exotic dancers, drunk army generals, cocaine-snorting Hungarian rappers, the Johnnie Cochran of Budapest, and a hockey team that seems to spend as much time breaking the law as it does practicing, 
Ballad of the Whiskey Robber
 gives us the most charming outlaw-hero since the Sundance Kid—and the Sundance Kid didn't play hockey.
As the Eastern bloc slips off its communist skin and replaces it with leopard-skin hot pants, 
Ballad of the Whiskey Robber
 is here to screw in the pink lightbulbs. Part 
Unbearable Lightness of Being
, part 
Pink Panther
, and part 
Slap Shot
, Julian Rubinstein's tale is a spectacular literary debut—and a story so outrageous that it could only be true.",352,"['Nonfiction', 'True Crime', 'History', 'Biography', 'Crime', 'Humor', 'Sports']",2004,4.01,5225,773
Absolutely American: Four Years at West Point,David Lipsky,"""A superb description of modern military culture, and one of the most gripping accounts of university life.... Powerful.... Wonderfully told."" -- The New York Times Book Review
As David Lipsky follows a future generation of army officers from their proving grounds to their barracks, he reveals the range of emotions and desires that propels these men and women forward. From the cadet who struggles with every facet of West Point life to those who are decidedly huah , Lipsky shows people facing challenges so daunting and responsibilities so heavy that their transformations are fascinating to watch. Absolutely American is a thrilling portrait of a unique institution and those who make up its ranks.
With an updated Epilogue by the author.
NATIONAL BESTSELLER",384,"['Nonfiction', 'Military Fiction', 'History', 'Memoir', 'Military History', 'Education', 'American History']",2003,4.01,1454,155
"Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos",Michio Kaku,"**Alternate/Original cover for: 9781400033720**
In this thrilling journey into the mysteries of our cosmos, bestselling author Michio Kaku takes us on a dizzying ride to explore black holes and time machines, multidimensional space and, most tantalizing of all, the possibility that parallel universes may lay alongside our own. Kaku skillfully guides us through the latest innovations in string theory and its latest iteration, M-theory, which posits that our universe may be just one in an endless multiverse, a singular bubble floating in a sea of infinite bubble universes. If M-theory is proven correct, we may perhaps finally find answer to the question, “What happened before the big bang?” This is an exciting and unforgettable introduction into the new cutting-edge theories of physics and cosmology from one of the pre-eminent voices in the field.",428,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Philosophy']",2004,4.21,21189,810
The Glass Castle,Jeannette Walls,"THE #1 
 BESTSELLER
The Glass Castle
 is a remarkable memoir of resilience and redemption, and a revelatory look into a family at once deeply dysfunctional and uniquely vibrant. When sober, Jeannette's brilliant and charismatic father captured his children's imagination, teaching them physics, geology, and how to embrace life fearlessly. But when he drank, he was dishonest and destructive. Her mother was a free spirit who abhorred the idea of domesticity and didn't want the responsibility of raising a family. 
The Walls children learned to take care of themselves. They fed, clothed, and protected one another, and eventually found their way to New York. Their parents followed them, choosing to be homeless even as their children prospered.
The Glass Castle
 is truly astonishing--a memoir permeated by the intense love of a peculiar but loyal family.",288,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club', 'Audiobook']",2005,4.31,1195760,62212
1776,David McCullough,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.
Based on extensive research in both American and British archives, 
 is a powerful drama written with extraordinary narrative vitality. It is the story of Americans in the ranks, men of every shape, size, and color, farmers, schoolteachers, shoemakers, no-accounts, and mere boys turned soldiers. And it is the story of the King's men, the British commander, William Howe, an his highly disciplined redcoats who looked on their rebel foes with contempt and fought with a valor too little known.
At the center of the drama, with Washington, are two young American patriots, who, at first, knew no more of war than what they had read in books - Nathaniel Green, a Quaker who was made a general at thirty-three, and Henry Knox, a twenty-five-year-old bookseller who had the preposterous idea of hauling the guns of Fort Ticonderoga overland to Boston in the dead of Winter.
But it is the American commander-in-chief who stands foremost - Washington, who had never before led an army in battle. Written as a companion work to his celebrated biography of John Adams, David McCullough's 
1776
 is another landmark in the literature of American history.",386,"['History', 'Nonfiction', 'American History', 'Historical', 'American Revolution', 'War', 'Audiobook']",2005,4.09,228503,8414
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,"John and Jenny were young and deeply in love, with a perfect little house and not a care in the world. Then they brought home Marley, a wiggly yellow furball of a puppy. Life would never be the same.
Marley quickly grew into an uncontrollable ninety-seven-pound steamroller of a Labrador retriever. Expelled from obedience school, even the tranquillisers prescribed by the vet couldn't stop him.
Yet through the chaos and the hilarity, he won hearts and remained a steadfast model of devotion to his family, even when they were at their wits' end. Unconditional love, they would learn, comes in many forms.",291,"['Nonfiction', 'Memoir', 'Animals', 'Biography', 'Dogs', 'Humor', 'Biography Memoir']",2005,4.14,468537,14911
